"district","typ","hasc","nutscode","population","area","rb","capital"
"Main-Kinzig-Kreis","l","DE.HE.MK","DE719","400,862","1,398","DA","Gelnhausen"
"Main-Spessart","l","DE.BY.MS","DE26A","127,508","1,321","UF","Karlstadt"
"Main-Tauber-Kreis","l","DE.BW.MT","DE11B","130,625","1,304","ST","Tauberbischofsheim"
"Main-Taunus-Kreis","l","DE.HE.MT","DE71A","224,059",229,"DA","Hofheim am Taunus"
"Mainz","s","DE.RP.MI","DEB35","200,344",98,"RP","Mainz"
"Mainz-Bingen","l","DE.RP.MB","DEB3J","200,672",606,"RP","Ingelheim am Rhein"
"Mannheim","u","DE.BW.MN","DE126","290,117",145,"KR","Mannheim"
"Mansfeld-Südharz","l","DE.ST.MS","DEE0A","147,887","1,449","HL","Sangerhausen"
"Marburg-Biedenkopf","l","DE.HE.MB","DE724","241,226","1,263","GI","Marburg"
"Märkischer Kreis","d","DE.NW.MK","DEA58","423,818","1,059","AR","Lüdenscheid"
"Märkisch-Oderland","l","DE.BB.MO","DE409","187,374","2,128","BB","Seelow"
"Mayen-Koblenz","l","DE.RP.MK","DEB17","210,308",817,"KB","Koblenz"
"Mecklenburgische Seenplatte","l","DE.MV.MS","DE80","267,806","5,468","MV","Neubrandenburg"
"Meißen","l","DE.SN.MI","DED2E","247,054","1,452","DR","Meißen"
"Memmingen","s","DE.BY.MM","DE274","41,241",70,"SC","Memmingen"
"Merzig-Wadern","l","DE.SL.MW","DEC02","103,636",555,"SL","Merzig"
"Mettmann","d","DE.NW.MT","DEA1C","477,777",407,"DU","Mettmann"
"Miesbach","l","DE.BY.ME","DE21F","93,63",864,"OB","Miesbach"
"Miltenberg","l","DE.BY.ML","DE269","128,405",716,"UF","Miltenberg"
"Minden-Lübbecke","d","DE.NW.ML","DEA46","312,169","1,152","DM","Minden"
"Mittelsachsen","l","DE.SN.MT","DED43","322,078","2,112","CH","Freiberg"
"Mönchengladbach","s","DE.NW.MG","DEA15","255,188",170,"DU","Mönchengladbach"
"Mühldorf am Inn","l","DE.BY.MI","DE21G","106,415",805,"OB","Mühldorf am Inn"
"Mülheim an der Ruhr","s","DE.NW.MR","DEA16","166,865",91,"DU","Mülheim an der Ruhr"
"München","l","DE.BY.MU","DE21H","317,249",667,"OB","München"
"München","s","DE.BY.MN","DE212","1,348,335",311,"OB","München"
"Münster","s","DE.NW.MN","DEA33","289,576",303,"MU","Münster"
"Neckar-Odenwald-Kreis","l","DE.BW.NO","DE127","142,81","1,126","KR","Mosbach"
"Neuburg-Schrobenhausen","l","DE.BY.NS","DE21I","90,593",740,"OB","Neuburg an der Donau"
"Neumarkt in der Oberpfalz","l","DE.BY.NO","DE236","126,436","1,344","OP","Neumarkt in der Oberpfalz"
"Neumünster","s","DE.SH.NU","DEF04","77,249",72,"SH","Neumünster"
"Neunkirchen","l","DE.SL.NU","DEC03","135,531",249,"SL","Ottweiler"
"Neustadt an der Aisch-Bad Windsheim","l","DE.BY.NA","DE25A","97,475","1,267","MF","Neustadt an der Aisch"
"Neustadt an der Waldnaab","l","DE.BY.NW","DE237","96,317","1,43","OP","Neustadt an der Waldnaab"
"Neustadt an der Weinstraße","s","DE.RP.NW","DEB36","52,164",117,"RP","Neustadt an der Weinstraße"
"Neu-Ulm","l","DE.BY.NU","DE279","163,854",516,"SC","Neu-Ulm"
"Neuwied","l","DE.RP.NU","DEB18","180,672",627,"KB","Neuwied"
"Nienburg/Weser","l","DE.NI.NE","DE927","122,242","1,399","HN","Nienburg/Weser"
"Nordfriesland","d","DE.SH.NR","DEF07","163,665","2,047","SH","Husum"
"Nordhausen","l","DE.TH.NR","DEG07","87,21",711,"TH","Nordhausen"
"Nordsachsen","l","DE.SN.NR","DED53","201,165","2,02","LE","Torgau"
"Nordwestmecklenburg","l","DE.MV.NR","DE80","156,634","2,117","MV","Wismar"
"Northeim","l","DE.NI.NR","DE918","137,446","1,267","BR","Northeim"
"Nürnberg","s","DE.BY.NR","DE254","486,314",186,"MF","Nürnberg"
"Nürnberger Land","l","DE.BY.NL","DE259","163,967",800,"MF","Lauf an der Pegnitz"
"Oberallgäu","l","DE.BY.OE","DE27E","148,649","1,528","SC","Sonthofen"
"Oberbergischer Kreis","d","DE.NW.OK","DEA2A","273,011",919,"KL","Gummersbach"
"Oberhausen","s","DE.NW.OE","DEA17","210,215",77,"DU","Oberhausen"
"Oberhavel","l","DE.BB.OE","DE40A","200,807","1,796","BB","Oranienburg"
"Oberspreewald-Lausitz","l","DE.BB.OL","DE40B","117,943","1,217","BB","Senftenberg"
"Odenwaldkreis","l","DE.HE.OE","DE71B","96,613",624,"DA","Erbach"
"Oder-Spree","l","DE.BB.OS","DE40C","178,176","2,243","BB","Beeskow"
"Offenbach","l","DE.HE.OF","DE71C","332,328",356,"DA","Dietzenbach"
"Offenbach am Main","s","DE.HE.OM","DE713","113,443",45,"DA","Offenbach am Main"
"Oldenburg","l","DE.NI.OL","DE943","125,014",103,"WE","Oldenburg"
"Oldenburg","s","DE.NI.OS","DE94D","157,267","1,063","WE","Wildeshausen"
"Olpe","d","DE.NW.OP","DEA59","136,49",711,"AR","Olpe"
"Ortenaukreis","l","DE.BW.OR","DE134","410,202","1,851","FR","Offenburg"
"Osnabrück","l","DE.NI.ON","DE944","350,147",120,"WE","Osnabrück"
"Osnabrück","s","DE.NI.OB","DE94E","153,699","2,122","WE","Osnabrück"
"Ostalbkreis","l","DE.BW.OA","DE11D","306,529","1,512","ST","Aalen"
"Ostallgäu","l","DE.BY.OT","DE27B","133,585","1,395","SC","Marktoberdorf"
"Osterholz","l","DE.NI.OT","DE936","110,907",651,"LU","Osterholz-Scharmbeck"
"Osterode am Harz","l","DE.NI.OH","DE919","76,786",636,"BR","Osterode am Harz"
"Ostholstein","d","DE.SH.OT","DEF08","198,413","1,392","SH","Eutin"
"Ostprignitz-Ruppin","l","DE.BB.OR","DE40D","100,242","2,509","BB","Neuruppin"
"Paderborn","d","DE.NW.PD","DEA47","294,602","1,246","DM","Paderborn"
"Passau","l","DE.BY.PL","DE228","184,19","1,53","NI","Passau"
"Passau","s","DE.BY.PS","DE222","48,649",70,"NI","Passau"
"Peine","l","DE.NI.PI","DE91A","130,398",535,"BR","Peine"
"Pfaffenhofen an der Ilm","l","DE.BY.PI","DE21J","116,116",761,"OB","Pfaffenhofen an der Ilm"
"Pforzheim","u","DE.BW.PO","DE129","114,411",98,"KR","Pforzheim"
"Pinneberg","d","DE.SH.PN","DEF09","296,341",664,"SH","Pinneberg"
"Pirmasens","s","DE.RP.PR","DEB37","40,887",61,"RP","Pirmasens"
"Plön","d","DE.SH.PO","DEF0A","127,676","1,083","SH","Plön"
"Potsdam","s","DE.BB.PT","DE404","156,021",188,"BB","Potsdam"
"Potsdam-Mittelmark","l","DE.BB.PM","DE40E","202,816","2,575","BB","Bad Belzig"
"Prignitz","l","DE.BB.PI","DE40F","80,276","2,123","BB","Perleberg"
"Rastatt","l","DE.BW.RS","DE124","222,324",739,"KR","Rastatt"
"Ravensburg","l","DE.BW.RV","DE148","269,595","1,632","TU","Ravensburg"
"Recklinghausen","d","DE.NW.RC","DEA36","619,382",760,"MU","Recklinghausen"
"Regen","l","DE.BY.RE","DE229","76,782",975,"NI","Regen"
"Regensburg","l","DE.BY.RL","DE238","182,289","1,393","OP","Regensburg"
"Regensburg","s","DE.BY.RB","DE232","135,403",81,"OP","Regensburg"
"Remscheid","s","DE.NW.RM","DEA18","110,708",75,"DU","Remscheid"
"Rems-Murr-Kreis","l","DE.BW.RM","DE116","406,874",858,"ST","Waiblingen"
"Rendsburg-Eckernförde","d","DE.SH.RE","DEF0B","269,364","2,186","SH","Rendsburg"
"Reutlingen","l","DE.BW.RU","DE141","273,353","1,094","TU","Reutlingen"
"Rhein-Erft-Kreis","d","DE.NW.RE","DEA27","451,515",705,"KL","Bergheim"
"Rheingau-Taunus-Kreis","l","DE.HE.RT","DE71D","180,226",811,"DA","Bad Schwalbach"
"Rhein-Hunsrück-Kreis","l","DE.RP.RH","DEB19","102,322",963,"KB","Simmern/Hunsrück"
"Rheinisch-Bergischer Kreis","d","DE.NW.RB","DEA2B","278,182",437,"KL","Bergisch Gladbach"
"Rhein-Kreis Neuss","d","DE.NW.RN","DEA1D","437,393",576,"DU","Neuss"
"Rhein-Lahn-Kreis","l","DE.RP.RN","DEB1A","123,203",782,"KB","Bad Ems"
"Rhein-Neckar-Kreis","l","DE.BW.RN","DE128","524,039","1,062","KR","Heidelberg"
"Rhein-Pfalz-Kreis","l","DE.RP.RZ","DEB3I","146,868",305,"RP","Ludwigshafen am Rhein"
"Rhein-Sieg-Kreis","d","DE.NW.RS","DEA2C","578,252","1,153","KL","Siegburg"
"Rhön-Grabfeld","l","DE.BY.RG","DE266","80,829","1,022","UF","Bad Neustadt an der Saale"
"Rosenheim","l","DE.BY.RH","DE21K","244,256","1,44","OB","Rosenheim"
"Rosenheim","s","DE.BY.RS","DE213","59,329",37,"OB","Rosenheim"
"Rostock","l","DE.MV.RL","DE80","212,559","3,421","MV","Güstrow"
"Rostock","s","DE.MV.RS","DE803","200,266",181,"MV","Rostock"
"Rotenburg (Wümme)","l","DE.NI.RT","DE937","162,726","2,07","LU","Rotenburg (Wümme)"
"Roth","l","DE.BY.RT","DE25B","123,344",895,"MF","Roth"
"Rottal-Inn","l","DE.BY.RI","DE22A","116,634","1,282","NI","Pfarrkirchen"
"Rottweil","l","DE.BW.RT","DE135","136,478",769,"FR","Rottweil"
"Saale-Holzland-Kreis","l","DE.TH.SH","DEG0J","84,802",817,"TH","Eisenberg"
"Saalekreis","l","DE.ST.SL","DEE0B","191,681","1,433","HL","Merseburg"
"Saale-Orla-Kreis","l","DE.TH.SO","DEG0K","85,806","1,148","TH","Schleiz"
"Saalfeld-Rudolstadt","l","DE.TH.SR","DEG0I","113,267","1,035","TH","Saalfeld/Saale"
"Saarbrücken","g","DE.SL.SB","DEC01","327,065",411,"SL","Saarbrücken"
"Saarlouis","l","DE.SL.SA","DEC04","197,877",459,"SL","Saarlouis"
"Saarpfalz-Kreis","l","DE.SL.SP","DEC05","145,394",419,"SL","Homburg"
"Sächsische Schweiz-Osterzgebirge","l","DE.SN.SS","DED2F","246,818","1,654","DR","Pirna"
"Salzgitter","s","DE.NI.SL","DE912","98,895",224,"BR","Salzgitter"
"Salzlandkreis","l","DE.ST.SZ","DEE0C","205,458","1,426","DS","Bernburg (Saale)"
"St. Wendel","l","DE.SL.SW","DEC06","90,12",476,"SL","St. Wendel"
"Schaumburg","l","DE.NI.SH","DE928","157,497",676,"HN","Stadthagen"
"Schleswig-Flensburg","d","DE.SH.SF","DEF0C","196,025","2,072","SH","Schleswig"
"Schmalkalden-Meiningen","l","DE.TH.SM","DEG0B","127,622","1,21","TH","Meiningen"
"Schwabach","s","DE.BY.SH","DE255","38,469",41,"MF","Schwabach"
"Schwäbisch Hall","l","DE.BW.SH","DE11A","186,353","1,484","ST","Schwäbisch Hall"
"Schwalm-Eder-Kreis","l","DE.HE.SE","DE735","181,85","1,539","KS","Homberg (Efze)"
"Schwandorf","l","DE.BY.SD","DE239","142,406","1,473","OP","Schwandorf"
"Schwarzwald-Baar-Kreis","l","DE.BW.SB","DE136","203,967","1,025","FR","Villingen-Schwenningen"
"Schweinfurt","l","DE.BY.SL","DE26B","113,084",841,"UF","Schweinfurt"
"Schweinfurt","s","DE.BY.SS","DE262","52,143",36,"UF","Schweinfurt"
"Schwerin","s","DE.MV.SH","DE804","91,293",131,"MV","Schwerin"
"Segeberg","d","DE.SH.SG","DEF0D","260,665","1,344","SH","Bad Segeberg"
"Siegen-Wittgenstein","d","DE.NW.SW","DEA5A","276,834","1,132","AR","Siegen"
"Sigmaringen","l","DE.BW.SG","DE149","127,6","1,204","TU","Sigmaringen"
"Soest","d","DE.NW.SO","DEA5B","296,875","1,328","AR","Soest"
"Solingen","s","DE.NW.SL","DEA19","155,265",90,"DU","Solingen"
"Sömmerda","l","DE.TH.SD","DEG0D","71,865",804,"TH","Sömmerda"
"Sonneberg","l","DE.TH.SN","DEG0H","58,943",433,"TH","Sonneberg"
"Speyer","s","DE.RP.SE","DEB38","49,54",43,"RP","Speyer"
"Spree-Neiße","l","DE.BB.SN","DE40G","122,523","1,648","BB","Forst (Lausitz)"
"Stade","l","DE.NI.SA","DE939","195,45","1,266","LU","Stade"
"Starnberg","l","DE.BY.SA","DE21L","127,132",488,"OB","Starnberg"
"Steinburg","d","DE.SH.SE","DEF0E","130,783","1,056","SH","Itzehoe"
"Steinfurt","d","DE.NW.SF","DEA37","433,66","1,793","MU","Steinfurt"
"Stendal","l","DE.ST.SE","DEE0D","119,204","2,423","MA","Stendal"
"Stormarn","d","DE.SH.SO","DEF0F","230,555",766,"SH","Bad Oldesloe"
"Straubing","s","DE.BY.ST","DE223","44,488",68,"NI","Straubing"
"Straubing-Bogen","l","DE.BY.SB","DE22B","95,853","1,202","NI","Straubing"
"Stuttgart","u","DE.BW.SU","DE111","585,89",207,"ST","Stuttgart"
"Südliche Weinstraße","l","DE.RP.SW","DEB3H","108,244",640,"RP","Landau in der Pfalz"
"Südwestpfalz","l","DE.RP.SD","DEB3K","98,426",954,"RP","Pirmasens"
"Suhl","s","DE.TH.SU","DEG04","36,96",103,"TH","Suhl"
"Teltow-Fläming","l","DE.BB.TF","DE40H","159,255","2,092","BB","Luckenwalde"
"Tirschenreuth","l","DE.BY.TR","DE23A","74,866","1,085","OP","Tirschenreuth"
"Traunstein","l","DE.BY.TA","DE21M","168,51","1,534","OB","Traunstein"
"Trier","s","DE.RP.TI","DEB21","105,671",117,"TR","Trier"
"Trier-Saarburg","l","DE.RP.TS","DEB25","142,228","1,091","TR","Trier"
"Tübingen","l","DE.BW.TB","DE142","211,952",519,"TU","Tübingen"
"Tuttlingen","l","DE.BW.TT","DE137","132,213",734,"FR","Tuttlingen"
"Uckermark","l","DE.BB.UK","DE40I","124,682","3,058","BB","Prenzlau"
"Uelzen","l","DE.NI.UL","DE93A","93,595","1,454","LU","Uelzen"
"Ulm","u","DE.BW.UM","DE144","116,761",119,"TU","Ulm"
"Unna","d","DE.NW.UN","DEA5C","396,06",543,"AR","Unna"
"Unstrut-Hainich-Kreis","l","DE.TH.UH","DEG09","106,122",975,"TH","Mühlhausen/Thüringen"
"Unterallgäu","l","DE.BY.UT","DE27C","135,161","1,23","SC","Mindelheim"
"Vechta","l","DE.NI.VC","DE94F","132,294",813,"WE","Vechta"
"Verden","l","DE.NI.VR","DE93B","132,3",788,"LU","Verden (Aller)"
"Viersen","d","DE.NW.VE","DEA1E","296,176",563,"DU","Viersen"
"Vogelsbergkreis","l","DE.HE.VG","DE725","108,51","1,459","GI","Lauterbach (Hessen)"
"Vogtlandkreis","l","DE.SN.VG","DED44","240,052","1,31","CH","Plauen"
"Vorpommern-Greifswald","l","DE.MV.VG","DE80","241,54","3,927","MV","Greifswald"
"Vorpommern-Rügen","l","DE.MV.VR","DE80","225,513","3,188","MV","Stralsund"
"Vulkaneifel","l","DE.RP.VL","DEB24","61,947",911,"TR","Daun"
"Waldeck-Frankenberg","l","DE.HE.WF","DE736","158,99","1,849","KS","Korbach"
"Waldshut","l","DE.BW.WL","DE13A","163,136","1,131","FR","Waldshut-Tiengen"
"Warendorf","d","DE.NW.WR","DEA38","273,477","1,317","MU","Warendorf"
"Wartburgkreis","l","DE.TH.WR","DEG0P","128,719","1,305","TH","Bad Salzungen"
"Weiden in der Oberpfalz","s","DE.BY.WO","DE233","41,746",71,"OP","Weiden in der Oberpfalz"
"Weilheim-Schongau","l","DE.BY.WS","DE21N","128,762",966,"OB","Weilheim in Oberbayern"
"Weimar","s","DE.TH.WI","DEG05","62,764",84,"TH","Weimar"
"Weimarer Land","l","DE.TH.WL","DEG0G","82,643",803,"TH","Apolda"
"Weißenburg-Gunzenhausen","l","DE.BY.WG","DE25C","92,369",971,"MF","Weißenburg i.Bay."
"Werra-Meißner-Kreis","l","DE.HE.WM","DE737","102,124","1,025","KS","Eschwege"
"Wesel","d","DE.NW.WS","DEA1F","460,42","1,043","DU","Wesel"
"Wesermarsch","l","DE.NI.WS","DE94G","90,035",822,"WE","Brake (Unterweser)"
"Westerwaldkreis","l","DE.RP.WS","DEB1B","200,059",989,"KB","Montabaur"
"Wetteraukreis","l","DE.HE.WT","DE71E","292,573","1,101","DA","Friedberg (Hessen)"
"Wiesbaden","s","DE.HE.WE","DE714","269,121",204,"DA","Wiesbaden"
"Wilhelmshaven","s","DE.NI.WH","DE945","77,451",107,"WE","Wilhelmshaven"
"Wittenberg","l","DE.ST.WT","DEE0E","132,994","1,93","DS","Lutherstadt Wittenberg"
"Wittmund","l","DE.NI.WT","DE94H","56,839",657,"WE","Wittmund"
"Wolfenbüttel","l","DE.NI.WB","DE91B","120,773",722,"BR","Wolfenbüttel"
"Wolfsburg","s","DE.NI.WL","DE913","119,984",204,"BR","Wolfsburg"
"Worms","s","DE.RP.WR","DEB39","79,207",109,"RP","Worms"
"Wunsiedel im Fichtelgebirge","l","DE.BY.WF","DE24D","76,044",606,"OF","Wunsiedel"
"Wuppertal","s","DE.NW.WP","DEA1A","342,661",168,"DU","Wuppertal"
"Würzburg","l","DE.BY.WR","DE26C","158,095",968,"UF","Würzburg"
"Würzburg","s","DE.BY.WZ","DE263","124,297",88,"UF","Würzburg"
"Zollernalbkreis","l","DE.BW.ZL","DE143","185,559",918,"TU","Balingen"
"Zweibrücken","s","DE.RP.ZE","DEB3A","34,2",71,"RP","Zweibrücken"
"Zwickau","l","DE.SN.ZI","DED45","335,22",949,"CH","Zwickau"
